what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1373319881499
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1373319881502
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1373319881510
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1373319881526
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1373319881532
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1373319881543
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1373319881550
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1373319881559
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1373319881565
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1373319881574
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1373319881574
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1373319881579
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1373319881585
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1373319881594
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1373319881595
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1373319881605
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1373319881615
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1373319881621
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1373319881629
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1373319881630
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1373319881658
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1373319881659
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1373319881665
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1373319881666
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1373319881667
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1373319881668
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1373319881669
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1373319881670
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1373319881680
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1373319881689
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1373319881693
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1373319881701
os,sysinfo,,,"win32",1373319881703
arch,sysinfo,,,"x86_64",1373319881703
ws,sysinfo,,,"win32",1373319881703
locale,sysinfo,,,"en_US",1373319881703
processors,sysinfo,,,"8",1373319881703
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373319881703
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1373319881703
java.specification.name,sysinfo,,,"Java Platform API Specification",1373319881703
java.specification.vendor,sysinfo,,,"Oracle Corporation",1373319881703
java.specification.version,sysinfo,,,"1.7",1373319881703
java.vendor,sysinfo,,,"Oracle Corporation",1373319881703
java.version,sysinfo,,,"1.7.0_03",1373319881703
java.vm.info,sysinfo,,,"mixed mode",1373319881703
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1373319881703
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373319881703
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1373319881703
java.vm.specification.version,sysinfo,,,"1.7",1373319881703
java.vm.vendor,sysinfo,,,"Oracle Corporation",1373319881703
java.vm.version,sysinfo,,,"22.1-b02",1373319881703
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1373319881926
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1373319882760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319883173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319885258
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1373319886541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1373319888175
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1373319888515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319889118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319892334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1373319893298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373319893630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319894049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319899248
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373319899375
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373319899454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1373319900385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373319900884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319901574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319943309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373319945395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373320294260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373320294568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373320295701
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373320295833
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1373320296350
